Gorge FC (D3B),53
Salt Spring FC (D3B),110
JDF Kings (D3B),82
Prospect Lake Lakers (D3B),39
Cowichan Oak FC (D3B),31
Castaways FC (D3B),2
SFFC Matadors (D3B),112
Vic West Wanderers (D3B),10
Lakehill Hooligans (D3B),49
Nanaimo United FC (D3B),34
Lakehill FC (D1),7
Nanaimo United FC (D1),32
Vic West FC (D1),111
Victoria Highlanders FC (D1),77
Bays United Liquor Plus (D1),56
Cowichan FC (D1),27
JDF All Flows (D1),41
Gorge FC (D1),8
Comox Valley United (D1),16
Powell River Villa (D1),51
Westcastle Utd (D1),55
BYE (D1),125
Lakehill FC (D2a),48
Nanaimo United FC (D2a),33
Prospect Lake Lakers (D2a),37
Gorge FC (D2),64
Easy Touch FC (D2b),119
SFFC Red Blue Bandits (D2b),17
JDF Hellas FC (D2),65
Campbell River Golden Wings (D2b),117
Mid Isle Mariners (D3A),69
Gorge Us-Guys (D3A),13
Vantreights FC (D3A),92
Sooke Celtic Football Club (D3A),14
SFFC  GBE (D3A),122
Vic West Casuals (D3A),50
Bays United FC (D3A),118
Lakehill Ekta (D3A),114
Peninsula FC (D3A),72
Gorge FC (D3B),53
Salt Spring FC (D3B),110
JDF Kings (D3B),82
Prospect Lake Lakers (D3B),39
Cowichan Oak FC (D3B),31
Castaways FC (D3B),2
SFFC Matadors (D3B),112
Vic West Wanderers (D3B),10
Lakehill Hooligans (D3B),49
Nanaimo United FC (D3B),34
Prospect Lake Lakers (D4),63
Vantreights Mates FC (D4),99
Castaways Invicta (D4),9
Cook Street Utd (D4),94
Fernwood United (D4),26
Bays United FC (D4),58
Nanaimo United FC (D4),98
Cowichan Farmstore Fury (D4),106
JDF Spartans (D4),42
JDF United (D4),44
Nanaimo United FC (U21),79
Bays United FC (U21),59
Lakehill FC (U21),121
Gorge FC (U21),104
Cowichan 49ers (MA),28
UVic Alumni (MA),5
Vic West FC (MA),108
Fernwood Dragons FC (MA),11
Gorge FC (MA),4
Cowichan Steelheads (MA),30
JDF Pacific (MA),45
BYE (MA),126
CB Red Barn Bobcats (MB),115
Castaways Juniors (MB),116
Fernwood Zgodans (MB),120
VW Thunder Kings (MB),123
Prospect Lake Lakers (MB),62
JDF Old Boys (MB),105
SFFC Intls - Keating Pizza (MB),113
Pace FC (MB),89
JDF Blue (MB),80
BYE (MB),127
Lakehill FC (D1),7
Nanaimo United FC (D1),32
Vic West FC (D1),111
Victoria Highlanders FC (D1),77
Bays United Liquor Plus (D1),56
Cowichan FC (D1),27
JDF All Flows (D1),41
Gorge FC (D1),8
Comox Valley United (D1),16
Powell River Villa (D1),51
Westcastle Utd (D1),55
BYE (D1),125
Lakehill FC (D2a),48
Nanaimo United FC (D2a),33
Prospect Lake Lakers (D2a),37
Gorge FC (D2),64
Easy Touch FC (D2b),119
SFFC Red Blue Bandits (D2b),17
JDF Hellas FC (D2),65
Campbell River Golden Wings (D2b),117
Mid Isle Mariners (D3A),69
Gorge Us-Guys (D3A),13
Vantreights FC (D3A),92
Sooke Celtic Football Club (D3A),14
SFFC  GBE (D3A),122
Vic West Casuals (D3A),50
Bays United FC (D3A),118
Lakehill Ekta (D3A),114
Peninsula FC (D3A),72
Gorge FC (D3B),53
Salt Spring FC (D3B),110
JDF Kings (D3B),82
Prospect Lake Lakers (D3B),39
Cowichan Oak FC (D3B),31
Castaways FC (D3B),2
SFFC Matadors (D3B),112
Vic West Wanderers (D3B),10
Lakehill Hooligans (D3B),49
Nanaimo United FC (D3B),34
Prospect Lake Lakers (D4),63
Vantreights Mates FC (D4),99
Castaways Invicta (D4),9
Cook Street Utd (D4),94
Fernwood United (D4),26
Bays United FC (D4),58
Nanaimo United FC (D4),98
Cowichan Farmstore Fury (D4),106
JDF Spartans (D4),42
JDF United (D4),44
Nanaimo United FC (U21),79
Bays United FC (U21),59
Lakehill FC (U21),121
Gorge FC (U21),104
Cowichan 49ers (MA),28
UVic Alumni (MA),5
Vic West FC (MA),108
Fernwood Dragons FC (MA),11
Gorge FC (MA),4
Cowichan Steelheads (MA),30
JDF Pacific (MA),45
BYE (MA),126
CB Red Barn Bobcats (MB),115
Castaways Juniors (MB),116
Fernwood Zgodans (MB),120
VW Thunder Kings (MB),123
Prospect Lake Lakers (MB),62
JDF Old Boys (MB),105
SFFC Intls - Keating Pizza (MB),113
Pace FC (MB),89
JDF Blue (MB),80
BYE (MB),127
